"产能下降","产能减量|产品[^。]*减产|建设用地*减量|停产|产量[^。]*下降","停产整治"
"产能过剩","产能[^。]*过剩|过剩[^。]*产能|去产能|积压",""
"安全事故","(管道|煤气)泄漏|倒塌[^。]*事故|员工中毒","无泄漏"
"生产停滞","停工|停机|停运|退役|停电|中断|停用|压覆|安全隐患|周期延长",""
"决策人员变动","(法定代表人|总经理|总裁|董事长)[^。]*(请辞|辞任|离职|请辞|辞去|辞任|病逝|更换|免去|解聘|跳槽|去职|死亡|死|失联|逝世|去世|辞世|失踪|受害|遇害|离开|自杀)",""
"决策人员违规不尽职","(法定代表人|总经理|总裁|董事长)[^。]*(罢免|辞退|免职|停职|撤换|违纪|空缺|处分|调查|贪污|涉嫌性侵|驱离|离境|失责|失职|逃往)",""
"管理监督人员变动","(副总经理|财务总监|董事[^长]|董事会秘书|证券事务代表|独立董事|监事|高管|股东|职工代表|员工)[^。]*(请辞|辞任|离职|请辞|辞去|辞任|病逝|更换|免去|解聘|跳槽|去职|死亡|死|失联|逝世|去世|辞世|失踪|受害|遇害|离开|自杀)",""
"管理监督人员违规不尽职","(副总经理|财务总监|董事[^长]|董事会秘书|证券事务代表|独立董事|监事|高管|股东|职工代表|员工)[^。]*(罢免|辞退|免职|停职|撤换|违纪|空缺|处分|调查|贪污|涉嫌性侵|驱离|离境|失责|失职|逃往)",""
"管理监督人员反对意见","(副总经理|财务总监|董事[^长]|董事会秘书|证券事务代表|独立董事|监事|高管|股东|职工代表|员工)[^。]*反对",""
"非标准审计意见","强调事项段[^。]*保留意见|非标准审计|非标准[^。]*意见|非标[^。]*意见","监事|独立董事"
"会计政策、估计、差错更正","会计[^。]*(更正|差错|政策|估计)","重大|监事会|独立董事|制度"
"重大会计政策、估计、差错更正","会计[^。]*(更正|差错|政策|估计)","监事会|独立董事|制度"
"债务违约","违约|逾期|资不抵债","控股股东|实际控制人|大股东"
"反担保","反担保","监事会|独立董事|制度|办法"
"担保","担保|抵押","监事会|独立董|制度|规定|办法|核查意见|反担保|保荐意见|专项意见|核查报告"
"补充抵押物","(增加|追加|补充)[^。]*抵押物",""
"募集资金变动","(募集资金|募资|募投)[^。]*(调减|降低|下调|终止|暂停);调减(募集资金|募资|募投);下调[^。]*(募集资金|募资);(募集|募投)[^。]*(缩减|调减|流出|延期|撤出|废除)","独立董事"
"终止暂停发行股票、债券","(终止|暂停|批复到期)[^。]*(发行|定增|增发|定向增发)","监事会|独立董|制度|规定|办法|核查意见|反担保|保荐意见|专项意见|核查报告"
"信用评级关注、下调","评级|信用,下调|列入|关注|观察|取消|暂停",""
"新投资项目暂停、缩减","投资,缩减|缩减|变更|暂缓|暂停|废标|停用;减少[*。]*注册资本|注册资本[*。]*减少;((终止|暂停|停止|退出)[^。]*(计划|事项|交易|项目|业务|工作|事宜))|((计划|事项|交易|项目|业务|工作|事宜)[^。]*(终止|暂停|停止|退出))","核查意见|保荐意见|传真|邮箱|电话|[^。]*号码|办公地址|联系方式|联系地址|热线|通讯方式|投资中心|独立董事|监事会"
"增资项目放弃、缩减","增资,缩减|缩减|暂缓|暂停|放弃|调减;项目(延期|暂停|暂缓|延缓)","核查意见|保荐意见|独立董事|监事会"
"财务资助","财务资助","核查意见|保荐意见|独立董事|监事会|办法|制度|意见"
"业绩预减","(业绩|净利润|盈利)[^。]*(减少|预减|预降|下降|下调|下滑|下挫|降低)","亏损|预亏|转亏"
"业绩预亏","(业绩|经营|净利为|净利|预计|净)[^。]*(亏损|预亏|转亏)",""
"资产减损","计提|坏账准备|资产[*。]*报废","监事会|独立董事|审计委员会|制度|规定|办法|准备工作|核查意见|反担保|保荐意见|专项意见"
"涉诉风险","仲裁|诉讼|涉诉|起诉|涉嫌|涉案|内幕交易|违规出资|违反证券法律法规|严重经济犯罪|犯罪|违反相关规定|操纵|违法违规|违法|重大事故责任罪|贪污|行贿|违规减持|严重违纪|伪造公章|卷款潜逃|骗|贪腐|限制出境|垄断|恶意炒作|无证销售|侵害|陷害|损害|伤害|犯罪|抹黑|矮化|侵犯|打压|捏造|造假|超排|违法排污|立案调查|资金挪用|职务侵占","重大|判决|裁决|和解|结果|达成协议|裁定|调解"
"重大涉诉风险","仲裁|诉讼|涉诉|起诉|涉嫌|涉案|内幕交易|违规出资|违反证券法律法规|严重经济犯罪|犯罪|违反相关规定|操纵|违法违规|违法|重大事故责任罪|贪污|行贿|违规减持|严重违纪|伪造公章|卷款潜逃|骗|贪腐|限制出境|垄断|恶意炒作|无证销售|侵害|陷害|损害|伤害|犯罪|抹黑|矮化|侵犯|打压|捏造|造假|超排|违法排污|立案调查|资金挪用|职务侵占,重大","判决|裁决|和解|结果|达成协议|裁定|调解"
"判决风险","仲裁|诉讼|涉诉|起诉|涉嫌|涉案,判决|裁决|和解|结果|达成协议|裁定|调解|撤案","重大"
"重大判决风险","仲裁|诉讼|涉诉|起诉|涉嫌|涉案,判决|裁决|和解|结果|达成协议|裁定|调解|撤案,重大",""
"司法冻结、拍卖","冻结|拍卖|查封|扣留|变卖|迁出|司法|强制","强制平仓"
"失信被执行人","失信被执行人",""
